disturbance,NC,HT,RT_MPC
4.755191278809908,1.1605255758949775,1.1596358701315281,1.0647825634936328
4.315554334161465,1.021610546301458,1.0207208405380084,0.9760504299159827
2.2447720235213446,0.4339494566660104,0.4332588481946189,0.34339400856143226
3.354301697459243,0.8314908870191958,0.8306011812557461,0.7608695375840021
3.9715067676700953,0.7575977847122873,0.7568077270440635,0.75741627083217
3.019707823600482,0.605810208970821,0.6050201513025972,0.5606208753904861
5.028165640919559,1.1675584393941254,1.1666687336306756,1.0283577661794812
5.217165669210855,1.0503270856773783,1.0494373799139287,0.9112302081586378
2.942182241943569,0.5997196905437969,0.5989296328755732,0.5542501141122304
3.916471216083528,0.790729569813508,0.7898398640500578,0.69663249117442
4.2049699291098515,1.036602954459721,1.035713248696271,0.8974164369794634
5.0478431248696705,1.0796132396539835,1.0787235338905334,0.9856130552726763
3.928997496046164,0.7837159284958217,0.782826222732372,0.6933574863417761
4.127047833763348,0.8661172457644003,0.8652275400009505,0.7971781943883686
1.6198012996189974,0.3499501607934145,0.34925955232202305,0.30477205707068994
4.625918400938645,0.9883095166889355,0.9874198109254858,0.8943422950097091
3.278349151245203,0.6882229660049032,0.6874329083366797,0.6176517388357201
4.058820424300508,0.9174125085076646,0.9165228027442148,0.8034666832800821
4.747754246764077,1.0951198322571802,1.0942301264937309,1.000738771659713
2.242071590092705,0.46243378410794683,0.46164372643972323,0.4152363932236405
2.2014882780609755,0.5608420061316267,0.5600519484634031,0.4903510525724601
4.760797581257254,0.9679472271054343,0.9670575213419846,0.8540014018778517
4.4474126467231425,0.9607185494508956,0.9598288436874456,0.8899572370986213
3.6032358123068917,0.8990281590072338,0.8981384532437839,0.8533784026602419
3.091674459339751,0.5981915873137301,0.5974015296455063,0.597721989759576
4.907234331028972,0.9818347549348173,0.9809450491713674,0.8876907170289041
3.2040095506782422,0.7473262441523114,0.7465361864840875,0.7220251746558884
2.6468667321615773,0.7812196031566765,0.7803298973932264,0.665548311166189
4.651663003815505,1.1555910215966032,1.1547013158331534,1.0397434553379763
2.825075521170905,0.6963587790795087,0.6955687214112848,0.6508892026479417
4.1634855932393595,1.0012390060282113,1.0003493002647614,0.8622820700169204
4.139882194093049,0.9185331247875441,0.9176434190240943,0.8478221353908336
5.461474088558319,1.1523748280644983,1.1514851223010483,1.058327871691421
1.9159523101736817,0.6330521542216219,0.6322620965533982,0.5391853777639698
1.6521787261402316,0.45813727759231365,0.4573472199240897,0.45776122420841464
5.417080960143274,1.3163539726833282,1.3154642669198784,1.177299955139202
5.178951923085095,1.364169078824973,1.3632793730615231,1.2248886511454844
2.0863349446042267,0.5743139452442654,0.5735238875760416,0.5035922506319405
2.241251678317467,0.5879652160386365,0.5871751583704127,0.5425938385874801
2.385960715211831,0.48992960233476696,0.48913954466654325,0.4194784457954724
2.325805644985259,0.4854560509136758,0.484665993245452,0.41487491847682684
2.9122998420864343,0.7524636385781897,0.7516735809099658,0.7071819010885498
1.736092981076459,0.43669662307788915,0.4359065654096653,0.36770754948029016
4.947291967902383,1.013186461139577,1.0122967553761273,0.8739959457195094
3.1525390871310592,0.8569173764454538,0.8560276706820039,0.7415343686184676
3.5033127600064873,0.7747984381870611,0.7739087324236114,0.7041770887518671
4.07719450986245,0.9085383805315471,0.9076486747680971,0.8144377509286654
4.6651262089299745,1.0624475338467299,1.0615578280832803,0.9432714729361826
1.5063782824171783,0.4059441128125776,0.40525350434118607,0.3607153835922777
4.35348162165824,1.00920525326562,1.0083155475021701,0.9853963384608591
5.398892949660949,1.1938681931669823,1.1929784874035327,1.0547638526672922
2.7792293415842884,0.6761738390846345,0.6753837814164105,0.5823037123527419
4.394492377595432,1.1093762724554495,1.1084865666919999,0.9720508712722895
2.5279018366108064,0.5404328607808452,0.5396428031126216,0.5400529031882079
3.6166970788506263,0.9709078403523184,0.9700181345888684,0.8768575337050006
2.806540918504031,0.686469167138215,0.6856791094699912,0.5923752514983125
2.848596454659806,0.5028509814333029,0.502060923765079,0.4088040250602255
5.051460125857554,1.0336282519610835,1.032738546197634,0.9196824267335011
1.592946506835447,0.40912699462808194,0.4084363861566905,0.34040827982359034
3.7382821364791368,0.8198267352907038,0.8189370295272543,0.7491850125507499
