time,NC,HT,RT_MPC
0,4.13742773671581,4.13742773671581,2.5599519613839727
1,8.535704101520274,8.535704101520274,6.955073374637772
2,13.38231182489681,13.38231182489681,10.221044061228703
3,19.451612829885438,19.451612829885438,16.284022530689995
4,26.248817797980816,26.263989111700774,21.49741654285514
5,33.57891750065004,33.62446178443736,27.445182889067016
6,41.40291747952759,41.49406679304235,33.679439623389555
7,49.74945971322246,49.90147658024408,40.63770434742505
8,58.34794313708933,58.57612060644478,47.64048848522849
9,67.80099392625415,68.12065563286805,55.69929381114248
10,77.65811649983941,78.08461672590624,63.95473720916568
11,87.75882478987616,88.30754852615479,71.35081605830138
12,98.2179290717087,98.9042920789395,80.19962854733893
13,109.47781168988848,110.31726056033334,90.05064401052287
14,121.18558922730584,122.19360144641112,100.14209143724966
15,133.43534969288328,134.62743370106628,109.6725422249273
16,146.28928240381745,147.68097765837626,120.90147354559372
17,159.58410905002177,161.1909860871691,131.46830189176188
18,173.3846339798148,175.2222944768358,143.63511943190656
19,187.41859054156603,189.50266737910042,154.93235428224227
20,201.8067414596775,204.15289878412625,167.67805695250328
21,216.79298701818993,219.41692030424682,179.91882245968165
22,232.22608882984898,235.1435249431572,192.32786961294474
23,248.31040930238697,251.53710656232096,205.17744209638525
24,264.7063043544306,268.25805259700354,218.53676488473792
25,281.6067490090431,285.49936964994026,232.18991890974738
26,299.0935771529871,303.3429232507251,246.62760706421386
27,317.46789308133987,322.08984940055234,261.7420395017254
28,336.2217371291617,341.2322202040115,277.43412551310905
29,355.4343757154449,360.8493339131634,293.3742373254965
30,375.3472518532694,381.1826654378222,310.2126868572622
31,396.2136395436976,402.48552073957825,327.79385386703467
32,418.0356684994933,424.7600615556445,346.5287369221981
33,440.46872431440147,447.6617055682637,365.66382732328805
34,463.7405875939103,471.41826553559895,384.5313823511631
35,487.58136539619034,495.7598807328011,403.6859596383469
36,511.99416487680213,520.6896905968447,423.6762698497915
37,537.3706072773397,546.599348715301,444.3482943556643
38,563.6470267322617,573.4252216332975,466.18397072709143
39,590.7386743890734,601.0825929738298,488.55291016728205
40,618.5546784434433,629.4806234730078,511.90984423555693
41,646.9640325491988,658.4883393901807,535.5781265682858
42,676.0689777068363,688.2080143965786,558.8327709023629
43,705.4499562880072,718.2201235999273,583.451494965314
44,735.4569617880823,748.8746932971445,607.1092456628011
45,766.3391751102171,780.4209372585357,633.2069814480745
46,798.1982672098632,812.9605593724366,658.6945512804538
47,830.3126822734265,845.7720368240033,684.6977846791749
48,863.1252229037754,879.2982052808513,711.1138376343926
49,896.6311452572119,913.5343540301601,738.483562984307
50,930.9182655077077,948.5683324430398,766.3491301903143
51,965.8815614677844,984.2951515955452,795.151113646773
52,1001.5969293692002,1020.7907410494945,824.4197627726041
53,1037.9767187850166,1057.9674837746693,853.2401930682968
54,1075.0661426339523,1095.870626153302,883.8548859858564
55,1112.811835295742,1134.4468360955682,914.0131513474194
56,1151.4155970195832,1173.8979474481669,946.1140578234213
57,1190.793764514304,1214.1403305846227,977.8766174528193
58,1230.766854204612,1254.994535661669,1011.3186149690617
59,1271.2358049563668,1296.3615353446557,1044.143664455415
